image	text_normalized	text_raw
data_ocr/images/IMG_6278.jpeg	8 50	8 50
data_ocr/images/IMG_6279.jpeg		
data_ocr/images/IMG_6280.jpeg		
data_ocr/images/IMG_6281.jpeg	2 1:5030	2 1:5030
data_ocr/images/IMG_6282.jpeg		
data_ocr/images/IMG_6283.jpeg	:4	:4
data_ocr/images/IMG_6284.jpeg	2 :5055	2 :5055
data_ocr/images/IMG_6285.jpeg	12	12
data_ocr/images/IMG_6286.jpeg	262 48	262 48
data_ocr/images/IMG_6287.jpeg	4	4
data_ocr/images/IMG_6288.jpeg	12	12
data_ocr/images/IMG_6289.jpeg	10	10
data_ocr/images/IMG_6290.jpeg	12	12
